word_count,avg_sentence_length,punctuation_count,cap_word_count,title_words_count,review_rating,word2vec_prob,helpfulness_rate
131,14.77777778,0,9,8,3,0.57125176,0.285714286
94,15.16666667,2,10,7,5,0.56922683,0.875
37,9.75,0,2,2,5,0.567533939,0.909090909
118,13.11111111,2,12,3,5,0.568458827,1
176,11.73333333,11,10,4,5,0.572454202,0.933333333
106,15.28571429,1,2,3,1,0.577372143,0.041666667
135,19.28571429,0,8,6,5,0.573075385,1
650,21.09677419,0,21,5,5,0.579355903,1
90,9.2,3,28,5,5,0.572057769,0.9375
72,14.4,0,5,3,5,0.572782342,1
112,22.6,0,3,4,5,0.578806775,1
237,21.72727273,0,9,3,5,0.5787361,0.916666667
98,12.625,0,0,2,5,0.576236122,1
34,11.33333333,0,2,2,5,0.559303951,0.571428571
144,18.25,0,1,3,4,0.578766293,0.818181818
83,16.6,2,1,9,5,0.579762037,1
21,10.5,2,4,5,5,0.577697386,0.857142857
76,10.375,3,1,7,3,0.578493113,0.875
63,10.5,1,1,6,5,0.571614557,0.714285714
217,19.90909091,0,51,9,5,0.569264757,0.88
141,18,0,3,3,5,0.578898343,0.857142857
139,10.07142857,1,2,8,1,0.574544153,0.9
109,13.875,0,2,6,2,0.578790711,0.666666667
25,12.5,0,0,1,1,0.577422613,0.5
85,12.42857143,0,4,5,1,0.573824053,0.6
53,8.833333333,3,2,4,1,0.577063133,0.6
102,14.57142857,1,1,2,1,0.574625809,0.6
40,8,0,0,5,1,0.576234367,0.5
129,14.33333333,1,7,1,1,0.574057145,0.714285714
56,8.571428571,4,0,5,5,0.57286558,0
251,18.07142857,2,9,5,4,0.575256301,0.142857143
86,21.5,1,9,6,1,0.570480277,1
191,13.64285714,2,7,3,1,0.574445283,0.2
66,16.5,0,5,7,2,0.573453166,0.071428571
345,9.583333333,0,14,7,5,0.565277637,0.25
137,17.125,2,6,3,4,0.569835869,0.142857143
149,21.28571429,0,3,5,5,0.575118071,0.8
150,21.42857143,0,8,2,5,0.575515607,0.833333333
111,13.875,0,9,7,5,0.57341939,0.933333333
185,16.90909091,9,15,8,5,0.573517812,0.6
70,8.111111111,1,4,7,5,0.573850807,0.88
37,37,0,0,4,5,0.575070466,0.666666667
67,11.33333333,0,0,3,5,0.57575601,0.818181818
376,19.2,5,8,6,3,0.5786215,0.425
84,21.5,3,4,3,5,0.577223054,0.714285714
114,16.57142857,1,8,10,5,0.577097028,0.888888889
25,12.5,0,0,1,5,0.582065498,0.8
274,17.3125,2,29,5,1,0.573920156,0.875
123,17.57142857,1,22,3,5,0.573908526,0.8
76,19,0,4,4,5,0.577848962,0.2
72,18,0,0,4,5,0.576723165,0.916666667
78,19.75,0,0,7,5,0.576881591,0.8125
75,15.2,0,4,1,5,0.571058518,0.888888889
193,27.57142857,1,5,9,1,0.57915723,0.951456311
50,10.4,0,7,3,5,0.567587281,0.8
62,20.66666667,0,0,3,4,0.583013463,0.666666667
199,18.27272727,2,14,9,5,0.576267957,0.902439024
72,12,0,3,8,1,0.574183896,0.090909091
68,22.66666667,0,2,1,1,0.574299419,0.117647059
151,30.4,0,3,6,3,0.576821494,0.142857143
90,30,0,9,4,5,0.572936623,0.666666667
177,16.36363636,1,2,2,5,0.580034923,0.866666667
63,21,0,1,6,5,0.575396712,1
92,18.2,0,2,10,2,0.579277238,0.181818182
54,18,0,2,3,4,0.578692421,0.666666667
156,14.18181818,3,5,7,5,0.572358012,0.833333333
188,12.66666667,5,3,5,5,0.578620746,1
462,24.63157895,0,11,5,5,0.577719545,1
194,19.4,0,4,8,5,0.580005467,0.25
324,15.71428571,5,14,6,5,0.576443593,0.945945946
294,17.88235294,8,2,4,5,0.579918399,1
73,5.153846154,2,6,2,5,0.576829616,1
104,10.7,1,5,4,3,0.57048618,0.142857143
42,14,0,3,3,2,0.570240339,0.142857143
73,14.6,1,1,9,5,0.576996325,0.571428571
399,18.36363636,1,13,7,5,0.575413234,1
153,14,3,4,5,5,0.575593625,1
158,26.33333333,0,1,7,3,0.580564915,0.25
252,18.14285714,0,5,7,5,0.579122564,0.888888889
89,9.888888889,1,10,4,1,0.565980795,0
70,17.5,1,3,4,5,0.574952917,1
78,19.5,0,4,9,5,0.578042229,0.833333333
95,15.83333333,1,2,8,5,0.573826946,1
40,10,0,0,4,5,0.577512702,1
140,20,0,0,4,5,0.579391044,1
115,115,0,84,5,5,0.551651306,0.777777778
55,9,0,2,7,5,0.575489649,1
248,24.9,0,3,4,3,0.577245534,1
379,12.70967742,17,16,8,5,0.573152689,0.833333333
49,12.25,4,2,9,1,0.573065185,0.966666667
31,6.6,1,2,10,5,0.571567706,0.428571429
291,21.14285714,1,9,7,3,0.573390775,0.871794872
1060,18.23728814,11,62,12,5,0.576562464,1
32,16,1,4,6,4,0.576489278,0.428571429
174,22,9,2,3,1,0.573575745,0.428571429
68,13.6,0,3,7,1,0.569043905,0.8
387,18.57142857,2,2,2,5,0.579543502,0.666666667
94,13.71428571,1,4,2,1,0.572886969,0.917647059
200,13.53333333,1,10,7,4,0.574741767,0.75
11,5.5,2,0,7,5,0.569846685,0.125
108,21.8,0,3,5,1,0.575538336,1
39,20,1,2,5,1,0.577869971,0.949579832
241,13.10526316,6,8,5,5,0.575120998,1
303,16.36842105,8,23,2,4,0.573654885,1
59,8.428571429,0,3,2,3,0.571775416,0
333,19.76470588,1,24,6,4,0.577624059,0.857142857
172,28.66666667,2,5,4,1,0.571547178,1
62,8,1,8,4,1,0.573159239,1
559,17.09090909,7,35,7,5,0.574327137,0.8
164,16.6,0,11,8,5,0.573090292,0.066666667
160,14.54545455,1,4,6,5,0.576706941,0.833333333
136,23.16666667,1,5,7,1,0.576877242,0.896551724
141,17.875,0,2,2,5,0.576130559,0.6
210,19.54545455,0,1,5,5,0.577975933,0.166666667
21,10.5,0,0,2,5,0.578085555,0.5
268,25.27272727,0,1,6,5,0.574158168,0.384615385
121,9.923076923,8,14,11,1,0.570142117,0.970588235
94,13.85714286,1,4,4,5,0.571123763,0.8
95,19.2,1,11,3,1,0.569235096,0.914772727
177,19.88888889,0,12,5,4,0.573769913,0
991,18.48148148,6,10,4,1,0.577818943,0.018181818
219,18.66666667,2,12,3,5,0.576268095,0.927835052
133,14.88888889,1,4,8,5,0.573159135,0.875
84,16.8,1,6,8,5,0.57203837,0.888888889
114,14.25,5,11,3,5,0.574723835,0.833333333
145,10.78571429,13,9,10,1,0.570850108,0.866666667
27,13.5,0,0,3,5,0.566371425,0.2
30,10,0,6,5,1,0.561368425,0.5
217,20,7,9,3,4,0.577203438,1
164,12.76923077,0,8,8,5,0.57157832,0.8
283,22,0,8,3,5,0.57804642,0.818181818
118,20,1,6,6,1,0.575832425,0.916666667
144,20.57142857,0,8,8,5,0.569452557,0.75
12,5.5,2,1,6,5,0.563266223,0.285714286
151,15.1,2,4,7,2,0.57645297,0.926380368
102,11.55555556,4,3,6,5,0.572299754,0.818181818
96,24,0,1,7,5,0.578213721,0.9
88,22,0,4,4,1,0.576228979,0.944444444
282,19.33333333,6,10,6,5,0.576935951,0.923076923
70,23.33333333,0,1,4,5,0.579487306,0.777777778
177,20,1,3,6,2,0.577370975,0.944444444
207,17.58333333,0,2,4,1,0.573372561,0.875
15,15,0,0,2,5,0.576571883,0.6
77,12.83333333,0,1,8,4,0.572224555,0.8
16,16,0,0,4,5,0.579389021,0.333333333
40,20,0,2,3,4,0.577194814,0.266666667
105,9.166666667,2,5,5,2,0.573193064,0.789473684
72,18,0,0,5,3,0.573046765,0.208333333
57,14.25,0,1,3,5,0.577445937,0.625
82,11.85714286,2,15,6,5,0.573009054,0.777777778
72,9,1,3,1,5,0.571330331,0.444444444
71,12,3,2,5,5,0.572173492,0.4
187,12.6,3,14,3,3,0.57410857,0.983870968
141,20.57142857,0,8,10,4,0.573179724,1
88,18.4,0,2,5,5,0.576438525,0.933333333
109,16,1,8,7,5,0.573546705,0.818181818
158,16.1,2,9,4,5,0.571634816,0.818181818
92,18.4,0,3,7,5,0.574586653,1
168,15.27272727,0,1,3,3,0.57612143,0.58
29,14.5,1,0,9,4,0.580889573,0.666666667
36,7.2,0,1,5,1,0.570863577,0.045454545
203,18.72727273,3,9,7,5,0.574604227,0.911764706
152,17,0,6,7,5,0.572599086,0.971428571
120,15.25,1,7,5,4,0.57462091,0.923076923
268,15.82352941,0,13,12,5,0.573993379,0.909090909
301,23.53846154,1,11,3,5,0.576381758,0.857142857
283,19.26666667,1,7,8,3,0.578668207,1
90,11.25,1,7,6,5,0.57257607,1
89,17.8,1,6,2,5,0.570321998,0.6
160,8.684210526,1,11,6,5,0.572259796,0.5
57,9.5,0,0,1,3,0.579826659,0.428571429
54,9,1,6,5,5,0.574098416,0.2
171,34.2,1,18,4,5,0.567986374,0.636363636
67,13.4,4,5,9,5,0.57189205,0.428571429
33,8.25,1,2,3,5,0.5661308,0.166666667
125,18.14285714,0,2,5,5,0.575060058,0.739130435
103,14.85714286,0,3,1,2,0.574054034,0.777777778
30,15,1,30,1,5,0.535178487,0.2
157,19.75,0,1,2,5,0.581584016,0.6
359,27.84615385,0,3,4,1,0.577710835,0.8125
91,22.75,1,5,4,5,0.576175002,0.2
922,17.66037736,2,13,11,4,0.575815084,0.625
53,17.66666667,0,4,3,5,0.578451733,1
110,13.875,2,2,5,5,0.576985007,1
48,24,0,1,2,2,0.575614118,0
130,16.25,0,6,5,5,0.57565441,1
13,13,0,1,8,5,0.565458764,0.285714286
136,20,1,0,3,5,0.578434249,1
184,14.38461538,0,11,6,3,0.575021891,0.75
246,22.63636364,0,10,11,5,0.573424916,1
225,17.30769231,2,8,8,5,0.573678252,0.884615385
572,14.45,1,27,7,5,0.573977874,0.625
411,23,1,1,10,5,0.578804538,0.588235294
83,10.375,1,4,5,1,0.573913574,0.36
192,12.3125,0,2,7,2,0.573486851,0.342105263
16,5.666666667,2,14,4,5,0.543363397,0.066666667
33,6.6,1,3,1,5,0.568359947,0.222222222
64,11.5,1,1,7,3,0.572766488,0.285714286
94,11.75,1,6,11,1,0.579026673,0.264705882
215,18,0,2,4,5,0.573552203,0.384615385
141,10.92307692,2,6,8,1,0.569860013,0.264705882
132,9.428571429,1,6,5,1,0.569963751,0.4
654,17.89189189,6,21,2,5,0.571582612,0.75
376,22.52941176,1,8,10,5,0.578021278,0.727272727
67,17,0,3,5,5,0.570062573,0.5
532,18.23333333,1,27,2,2,0.570763525,0.2
292,22.61538462,1,8,2,1,0.575784045,0.507246377
299,15.35,1,3,2,5,0.571956162,0.466666667
124,12.7,2,2,5,5,0.573072003,0.65
79,19.75,2,1,2,5,0.577966314,0.625
127,12.7,13,17,2,5,0.571307275,0.692307692
107,21.4,0,0,2,5,0.580597223,0
70,17.5,1,0,6,5,0.573436642,0.5
984,17.94545455,1,28,9,3,0.574969444,0.571428571
158,15.8,1,12,2,5,0.567396149,0.727272727
341,28.66666667,0,9,5,5,0.577065052,0.785714286
488,13.80555556,0,2,7,3,0.579020957,0.571428571
54,13.5,0,0,1,5,0.57135904,0.2
206,23.11111111,1,5,9,5,0.575640378,0.615384615
162,16.4,0,6,5,5,0.578834651,0.714285714
206,34.33333333,0,12,8,5,0.569413281,0.692307692
276,20.14285714,0,5,8,5,0.579090335,0.778409091
428,28.8,0,7,12,4,0.579466852,0.75
109,10.09090909,4,1,5,5,0.574137066,0.588235294
706,24.03333333,1,18,3,5,0.578788944,0.791666667
104,14.85714286,0,5,4,1,0.57249453,0.266666667
149,11.57142857,6,4,8,5,0.572229655,0.75
291,16.26315789,0,8,6,5,0.572677677,1
416,7.781818182,3,3,5,5,0.572406671,0.6875
98,16.33333333,2,3,2,5,0.577559204,0.526315789
358,21.29411765,0,10,5,3,0.577012154,0.6
106,12.55555556,1,8,3,1,0.569137095,0.222222222
240,15.1875,2,1,7,4,0.576992489,0.333333333
744,21.62857143,8,39,10,5,0.575883949,0.636363636
115,10.45454545,1,2,11,5,0.574080989,0.5
170,15.45454545,0,4,10,5,0.574196558,0.416666667
274,18.4,1,4,10,1,0.577374109,0.419354839
28,7,0,3,3,1,0.564532242,0
71,9.125,14,16,1,5,0.562571367,0.769230769
148,25,0,2,9,2,0.576997682,0.5
34,11.33333333,0,0,2,1,0.570201386,0.280701754
381,12.96666667,4,18,5,5,0.573002801,0.875
102,13,0,2,3,5,0.577361589,0.5
154,15.6,5,6,5,1,0.575500107,0.517241379
147,9.866666667,0,0,5,5,0.570724062,0.666666667
169,15.72727273,0,2,2,1,0.573810435,0.476190476
201,15.76923077,1,7,3,1,0.573210024,0.477272727
321,25.15384615,6,15,3,5,0.575132581,0.75
58,14.5,0,1,7,5,0.572286982,0.666666667
316,9.27027027,2,4,3,5,0.571074449,0.692307692
66,13.2,1,5,8,5,0.574815691,0.692307692
53,13.25,0,0,1,5,0.572327069,0.6
65,6,1,1,8,1,0.571720934,0.285714286
140,13.09090909,1,6,7,1,0.57460969,0.454545455
179,17.9,0,3,3,2,0.577211893,0.5
249,11.5,3,13,1,5,0.572013427,0.7
348,29,0,10,6,4,0.576438819,0.72
496,22.54545455,0,11,8,5,0.579357258,0.818181818
93,18.6,0,1,5,5,0.57600405,0.333333333
121,20.16666667,0,8,10,5,0.569542439,0.5
782,22.62857143,2,37,5,5,0.575622542,0.705882353
159,17.66666667,0,4,6,5,0.576746772,0.692307692
130,32.5,0,3,7,5,0.573305991,0.2
113,11.5,1,2,4,1,0.575185388,0.468085106
203,29.14285714,3,9,10,1,0.572633416,0.321428571
119,20,0,4,6,5,0.574009856,0.8
75,19,1,4,6,5,0.573418169,0.375
208,12.29411765,3,2,4,5,0.575635387,0.666666667
146,12,4,33,7,5,0.567329982,0.75
19,7,0,0,6,5,0.573490844,0.636363636
149,21.42857143,0,2,3,1,0.568006591,0.3
183,20.33333333,0,0,7,5,0.58061364,0.666666667
455,21.9047619,4,19,6,5,0.575931333,0.346153846
624,20.51612903,1,9,9,5,0.577590947,0.833333333
107,17.83333333,1,3,8,2,0.575052555,0.6
216,15.57142857,1,6,5,4,0.573939729,0.8
431,15.57142857,2,10,5,5,0.572949577,0
127,16.125,7,6,3,4,0.580737733,0.75
131,13.3,0,3,3,4,0.572421038,0.6875
335,17,0,10,10,4,0.57520794,0.647058824
383,14.10714286,0,5,7,5,0.577128746,0.833333333
373,20.05263158,0,12,5,1,0.577684499,0.393939394
716,19.23684211,0,21,7,1,0.578121007,0.287878788
245,19.07692308,1,7,6,1,0.577033395,0.479166667
101,10.2,2,6,4,1,0.568107078,0.358974359
124,12.4,0,5,8,5,0.573136856,0.538461538
185,23.125,0,2,4,5,0.575379958,0.666666667
68,11.5,0,1,7,5,0.57163691,0.4
422,19.36363636,0,13,3,5,0.576595213,0.8
67,11.16666667,0,1,2,1,0.571698802,0.297297297
186,27.14285714,0,2,12,5,0.581202087,0.5
421,15.74074074,3,4,5,2,0.579137663,0.375
32,16.5,0,1,1,5,0.576022435,0
139,17.875,0,5,13,5,0.574242621,0
632,14,0,15,6,5,0.577103236,0.739130435
289,16.05555556,0,16,6,1,0.574184857,0.125
170,19,0,5,1,3,0.57385686,0.2
311,15.95,2,13,5,1,0.575562921,0.25
324,21.8,0,13,7,5,0.577838281,0.8
208,14,3,1,3,5,0.578231627,0.625
59,8.125,1,2,1,5,0.574111641,0.4
758,19.225,8,21,10,5,0.572337166,0.4
191,16,0,13,4,5,0.570238637,0.333333333
308,14.18181818,5,10,3,1,0.571407665,0.171428571
890,18.1,2,20,9,5,0.578442543,0.75
116,10.81818182,0,11,1,5,0.576191907,0.666666667
101,21,0,5,4,5,0.574208671,0.421052632
69,8.625,3,1,7,1,0.572017098,0.314285714
40,10.25,0,3,2,1,0.572361474,0.372881356
110,18.33333333,0,0,6,1,0.577157746,0.384615385
497,35.71428571,1,4,8,5,0.580584177,0.855072464
127,32.25,0,0,5,1,0.578573299,0.2
25,7,0,2,1,5,0.572562165,0.666666667
16,16,0,0,5,1,0.576124394,0.490566038
832,20.46341463,16,73,10,3,0.573928208,0.3
174,22.25,0,7,4,1,0.577283127,0.480769231
131,26,2,131,1,4,0.532617657,0.3125
210,35.83333333,0,8,2,4,0.569667686,0.111111111
269,13.04761905,1,9,3,4,0.573887872,0.285714286
381,19.25,1,11,3,1,0.57342152,0.173076923
174,24.85714286,0,14,3,5,0.574509473,0.5625
259,18.71428571,2,8,2,4,0.574869294,0
233,16.92857143,0,9,4,5,0.577008332,0.5
180,20,1,14,7,5,0.571792528,0.333333333
126,11.45454545,3,9,6,5,0.571920489,0.307692308
324,25,1,13,9,2,0.573294395,0.28125
94,23.5,0,2,4,4,0.576330449,0.882352941
160,11.64285714,3,38,3,4,0.567192456,0.214285714
363,21.64705882,1,16,9,2,0.57608118,0.62962963
79,39.5,0,1,3,5,0.580227328,0.875
703,24.48275862,2,21,6,5,0.576742966,0.526315789
2204,22.54545455,2,65,7,4,0.57778103,0.571428571
173,29,0,1,7,5,0.581180922,0
165,11.13333333,4,1,1,1,0.568002794,0.346153846
130,10.53846154,8,5,4,5,0.574475514,0.285714286
283,13.27272727,0,10,7,5,0.57891837,0.727272727
63,10.66666667,0,2,9,5,0.572788731,0.8
52,13,0,0,8,1,0.571846736,0
48,16,0,5,7,5,0.56413099,0.857142857
193,14.07142857,2,1,6,5,0.57881737,0.7
222,22.4,2,4,3,3,0.574647734,0.5
77,15.4,1,1,1,5,0.573405541,0.666666667
237,18.61538462,1,7,5,5,0.570354981,0.5
243,17.42857143,0,12,5,1,0.571565743,0.489361702
237,13.16666667,5,2,4,5,0.574096518,0.571428571
160,17.77777778,2,2,3,2,0.572413477,0.28125
466,14.3030303,2,11,2,4,0.573418906,0.368421053
44,22.5,0,2,5,5,0.579987385,0.857142857
346,7.777777778,2,4,6,5,0.570180153,0.765957447
181,22.625,0,12,3,4,0.570673398,0.6
60,15,0,3,4,2,0.575867913,0.461538462
51,12.75,1,0,2,5,0.572047142,0.666666667
293,14.23809524,5,5,5,2,0.573702107,0.18
332,22.26666667,0,8,5,2,0.573040594,0.4
282,21.76923077,0,8,4,2,0.574048685,0.4
246,16.6,0,12,7,5,0.573507867,0.733333333
213,19.72727273,1,4,10,5,0.580786122,0.52173913
448,14.4516129,1,7,4,5,0.577230785,0.5
45,11.25,0,1,3,5,0.572066664,0.166666667
290,14.65,0,7,5,3,0.576008641,0.636363636
898,16.56363636,0,12,5,3,0.577499853,0.363636364
551,21.46153846,0,6,2,5,0.579406821,0.866666667
338,13.38461538,0,10,6,4,0.570325263,0.666666667
813,22.83333333,1,28,4,1,0.577176866,0.458333333
289,6.755555556,15,4,5,5,0.569837486,0.333333333
601,21.71428571,10,57,13,5,0.57260793,0.944444444
140,9.333333333,3,2,4,5,0.574112831,0.571428571
188,19.1,1,7,7,4,0.576433256,0.4
59,10,0,1,12,1,0.56874656,0.166666667
54,13.75,0,1,4,2,0.575864169,0.444444444
42,10.75,0,3,6,2,0.569074126,0.235294118
109,13.625,0,5,3,1,0.573716777,0.4375
42,21,0,4,3,5,0.571243472,0.2
91,15.16666667,0,1,4,5,0.57781623,0.5
958,19.1372549,6,6,3,2,0.577348533,0.333333333
257,20,1,2,3,4,0.577830922,0.666666667
199,13.4,0,4,9,4,0.573434983,0.72
70,17.5,0,1,5,5,0.57571967,0.388888889
66,22,0,0,1,1,0.579708297,0.5
306,16.36842105,1,8,2,5,0.57419207,0.5
75,9.375,6,1,5,5,0.573869777,0.5
40,10,1,0,2,1,0.570889358,0.230769231
62,10.66666667,1,5,1,1,0.575859184,0.421052632
362,17.71428571,4,16,4,5,0.574891172,0.833333333
21,4.4,3,1,1,1,0.55918681,0
296,23.30769231,1,15,10,5,0.574621472,0.647058824
54,11,0,6,1,5,0.567266169,0.363636364
155,14.45454545,2,14,9,2,0.576408565,0.666666667
250,14.82352941,3,7,4,2,0.574015506,0.25
199,13.4,6,6,6,5,0.57424911,0.53125
290,29.5,2,9,5,5,0.576278521,0.8
142,14.5,3,4,2,1,0.573799256,0.333333333
48,16.33333333,0,2,2,5,0.57991926,0.666666667
71,10.28571429,1,2,3,1,0.575406882,0.476190476
26,13,0,0,1,1,0.572846286,0.384615385
274,19.64285714,2,10,5,1,0.570008699,0.259259259
740,21.82352941,3,25,6,1,0.575198046,0.372093023
161,20.125,1,6,5,5,0.573034352,0.692307692
183,15.41666667,0,6,1,2,0.574004074,0.285714286
490,17.24137931,1,17,11,4,0.575038414,0.8
223,17.30769231,0,5,5,5,0.576374732,0.6
273,18.26666667,0,14,5,5,0.570166441,0.769230769
55,10.8,2,2,2,5,0.575121099,1
215,15.35714286,0,13,1,5,0.571507791,0.555555556
557,16.17142857,6,13,10,5,0.575561506,0.65
281,25.63636364,0,10,8,4,0.576829868,0
115,16.85714286,0,3,3,5,0.572070574,0.636363636
1074,19,1,13,7,2,0.578644998,0.375
250,15.625,0,3,5,5,0.575197817,0.666666667
595,49.83333333,0,12,6,2,0.580806109,0.227272727
216,18.16666667,1,8,5,4,0.574595085,0.636363636
95,24.5,0,0,3,5,0.573748353,0.428571429
20,20,0,4,5,5,0.575008657,0.153846154
214,13.9375,8,3,3,5,0.574308589,0.6875
271,15.16666667,0,15,4,5,0.572636877,0.785714286
370,15,5,14,5,5,0.572226442,0.416666667
174,11.5,6,3,1,3,0.576485301,0
988,16.44262295,3,23,5,3,0.576211747,0.547619048
153,17,0,3,14,2,0.574921421,0.266666667
160,16.1,0,2,6,5,0.577616034,0.416666667
641,29.31818182,10,24,4,4,0.575702902,0.4
744,22.14705882,5,6,5,5,0.5804093,0.6
163,16.4,0,0,2,5,0.576675532,0.861495845
75,15,0,3,8,1,0.573206688,0.451612903
323,14.95454545,5,4,5,4,0.577845863,0.583333333
117,23.4,0,5,5,2,0.575102078,0.476190476
381,16.73913043,0,13,6,2,0.575454339,0.571428571
347,14.625,4,9,2,1,0.573716015,0.521276596
153,13.90909091,1,2,2,4,0.573729127,0.866666667
260,17.4,0,8,10,5,0.574122073,0.8
485,14.35294118,3,7,3,4,0.57485955,0.714285714
214,15.57142857,1,15,6,2,0.572895692,0.590909091
437,15.34482759,3,18,3,5,0.574692947,0.529411765
58,12.4,1,0,2,1,0.576250633,0.236842105
33,16.5,0,1,5,5,0.578729566,0.4375
116,19.5,0,0,6,5,0.578925343,0.666666667
286,13,4,11,5,5,0.572567614,0.4
390,17.34782609,0,17,10,1,0.576019458,0.206896552
322,14.90909091,0,11,3,4,0.575393087,0.642857143
566,27.33333333,1,20,4,1,0.578323951,0.405405405
172,17.5,3,1,2,5,0.578132457,0.875
57,10.33333333,0,3,2,4,0.570464714,0.416666667
177,11.86666667,0,9,3,5,0.57442192,0.75
561,19.06666667,2,19,5,5,0.575146926,0.46875
109,27.25,0,0,7,1,0.574382208,0.488888889
302,20.33333333,1,15,10,3,0.57059916,0.666666667
389,19.65,0,8,6,5,0.57679229,0.6
25,12.5,0,2,1,1,0.56524016,0
60,15,3,60,2,1,0.533450579,0.30952381
77,11,3,6,5,5,0.568620797,0.833333333
58,11.6,0,3,4,5,0.571107894,0.6
317,20.1875,0,3,4,5,0.580709364,0.684210526
325,19.23529412,0,4,6,2,0.577963931,0.25
116,13.33333333,1,8,14,5,0.572998163,0.692307692
93,19.2,0,5,3,5,0.572387371,0.785714286
109,18.33333333,0,5,4,5,0.57506569,0.75
154,14.27272727,0,154,5,5,0.535461898,0.2
284,12.90909091,2,6,8,3,0.573165234,0
132,19.14285714,0,2,6,2,0.576838816,0.538461538
82,13.83333333,1,5,7,4,0.566924012,0.111111111
305,14.80952381,3,5,9,5,0.575417581,0.714285714
129,9.642857143,1,3,2,5,0.573493031,0.571428571
408,19.52380952,4,10,5,2,0.574615044,0.441176471
708,21.66666667,0,6,7,3,0.579962813,0.6
57,19.66666667,0,57,4,1,0.528937332,0.372093023
